image_path,beam_id,excel_beam_id,id_match_mode,beam_width,beam_depth,wa_content,target_load_capacity_kn,target_max_deflection_mm
data_pipeline/raw/Beam Image-12/CS-0-200/Beam (80).jpeg,CS-0-200,CS-0-200,exact,100,200,0,125.78,6.4
data_pipeline/raw/Beam Image-12/CS-0-200/Beam (82).jpeg,CS-0-200,CS-0-200,exact,100,200,0,125.78,6.4
data_pipeline/raw/Beam Image-12/CS-0-200/Beam (84).jpeg,CS-0-200,CS-0-200,exact,100,200,0,125.78,6.4
data_pipeline/raw/Beam Image-12/CS-0-300/Beam (127).jpeg,CS-0-300,CS-0-300,exact,100,300,0,265.81,5.7
data_pipeline/raw/Beam Image-12/CS-0-300/Beam (128).jpeg,CS-0-300,CS-0-300,exact,100,300,0,265.81,5.7
data_pipeline/raw/Beam Image-12/CS-0-300/Beam (45).jpeg,CS-0-300,CS-0-300,exact,100,300,0,265.81,5.7
data_pipeline/raw/Beam Image-12/CS-0-300/Beam (48).jpeg,CS-0-300,CS-0-300,exact,100,300,0,265.81,5.7
data_pipeline/raw/Beam Image-12/CS-0-300/Beam (49).jpeg,CS-0-300,CS-0-300,exact,100,300,0,265.81,5.7
data_pipeline/raw/Beam Image-12/CS-0-300/Beam (50).jpeg,CS-0-300,CS-0-300,exact,100,300,0,265.81,5.7
data_pipeline/raw/Beam Image-12/CS-0-300/Beam (51).jpeg,CS-0-300,CS-0-300,exact,100,300,0,265.81,5.7
data_pipeline/raw/Beam Image-12/CS-0-300/Beam (52).jpeg,CS-0-300,CS-0-300,exact,100,300,0,265.81,5.7
data_pipeline/raw/Beam Image-12/CS-0-300/Beam (54).jpeg,CS-0-300,CS-0-300,exact,100,300,0,265.81,5.7
data_pipeline/raw/Beam Image-12/CS-10-100/Beam (113).jpeg,CS-10-100,CS-10-100,exact,100,100,10,73.61,3.7
data_pipeline/raw/Beam Image-12/CS-10-100/Beam (114).jpeg,CS-10-100,CS-10-100,exact,100,100,10,73.61,3.7
data_pipeline/raw/Beam Image-12/CS-10-100/Beam (166).jpeg,CS-10-100,CS-10-100,exact,100,100,10,73.61,3.7
data_pipeline/raw/Beam Image-12/CS-10-100/Beam (168).jpeg,CS-10-100,CS-10-100,exact,100,100,10,73.61,3.7
data_pipeline/raw/Beam Image-12/CS-10-100/Beam (170).jpeg,CS-10-100,CS-10-100,exact,100,100,10,73.61,3.7
data_pipeline/raw/Beam Image-12/CS-10-100/Beam (171).jpeg,CS-10-100,CS-10-100,exact,100,100,10,73.61,3.7
data_pipeline/raw/Beam Image-12/CS-10-100/Beam (86).jpeg,CS-10-100,CS-10-100,exact,100,100,10,73.61,3.7
data_pipeline/raw/Beam Image-12/CS-10-100/Beam (87).jpeg,CS-10-100,CS-10-100,exact,100,100,10,73.61,3.7
data_pipeline/raw/Beam Image-12/CS-10-100/Beam (89).jpeg,CS-10-100,CS-10-100,exact,100,100,10,73.61,3.7
data_pipeline/raw/Beam Image-12/CS-10-100/Beam (90).jpeg,CS-10-100,CS-10-100,exact,100,100,10,73.61,3.7
data_pipeline/raw/Beam Image-12/CS-10-100/Beam (91).jpeg,CS-10-100,CS-10-100,exact,100,100,10,73.61,3.7
data_pipeline/raw/Beam Image-12/CS-10-100/Beam (92).jpeg,CS-10-100,CS-10-100,exact,100,100,10,73.61,3.7
data_pipeline/raw/Beam Image-12/CS-10-100/Beam (94).jpeg,CS-10-100,CS-10-100,exact,100,100,10,73.61,3.7
data_pipeline/raw/Beam Image-12/CS-10-200/Beam (132).jpeg,CS-10-200,CS-10-200,exact,100,200,10,135.9,6.5
data_pipeline/raw/Beam Image-12/CS-10-200/Beam (133).jpeg,CS-10-200,CS-10-200,exact,100,200,10,135.9,6.5
data_pipeline/raw/Beam Image-12/CS-10-200/Beam (136).jpeg,CS-10-200,CS-10-200,exact,100,200,10,135.9,6.5
data_pipeline/raw/Beam Image-12/CS-10-200/Beam (138).jpeg,CS-10-200,CS-10-200,exact,100,200,10,135.9,6.5
data_pipeline/raw/Beam Image-12/CS-10-200/Beam (139).jpeg,CS-10-200,CS-10-200,exact,100,200,10,135.9,6.5
data_pipeline/raw/Beam Image-12/CS-10-200/Beam (145).jpeg,CS-10-200,CS-10-200,exact,100,200,10,135.9,6.5
data_pipeline/raw/Beam Image-12/CS-10-200/Beam (60).jpeg,CS-10-200,CS-10-200,exact,100,200,10,135.9,6.5
data_pipeline/raw/Beam Image-12/CS-10-200/Beam (62).jpeg,CS-10-200,CS-10-200,exact,100,200,10,135.9,6.5
data_pipeline/raw/Beam Image-12/CS-10-200/Beam (63).jpeg,CS-10-200,CS-10-200,exact,100,200,10,135.9,6.5
data_pipeline/raw/Beam Image-12/CS-10-200/Beam (64).jpeg,CS-10-200,CS-10-200,exact,100,200,10,135.9,6.5
data_pipeline/raw/Beam Image-12/CS-10-200/Beam (65).jpeg,CS-10-200,CS-10-200,exact,100,200,10,135.9,6.5
data_pipeline/raw/Beam Image-12/CS-10-200/Beam (68).jpeg,CS-10-200,CS-10-200,exact,100,200,10,135.9,6.5
data_pipeline/raw/Beam Image-12/CS-10-300/Beam (120).jpeg,CS-10-300,CS-10-300,exact,100,300,10,228.91,5.8
data_pipeline/raw/Beam Image-12/CS-10-300/Beam (122).jpeg,CS-10-300,CS-10-300,exact,100,300,10,228.91,5.8
data_pipeline/raw/Beam Image-12/CS-10-300/Beam (126).jpeg,CS-10-300,CS-10-300,exact,100,300,10,228.91,5.8
data_pipeline/raw/Beam Image-12/CS-10-300/Beam (33).jpeg,CS-10-300,CS-10-300,exact,100,300,10,228.91,5.8
data_pipeline/raw/Beam Image-12/CS-10-300/Beam (36).jpeg,CS-10-300,CS-10-300,exact,100,300,10,228.91,5.8
data_pipeline/raw/Beam Image-12/CS-10-300/Beam (37).jpeg,CS-10-300,CS-10-300,exact,100,300,10,228.91,5.8
data_pipeline/raw/Beam Image-12/CS-10-300/Beam (38).jpeg,CS-10-300,CS-10-300,exact,100,300,10,228.91,5.8
data_pipeline/raw/Beam Image-12/CS-10-300/Beam (39).jpeg,CS-10-300,CS-10-300,exact,100,300,10,228.91,5.8
data_pipeline/raw/Beam Image-12/CS-10-300/Beam (40).jpeg,CS-10-300,CS-10-300,exact,100,300,10,228.91,5.8
data_pipeline/raw/Beam Image-12/CS-10-300/Beam (41).jpeg,CS-10-300,CS-10-300,exact,100,300,10,228.91,5.8
data_pipeline/raw/Beam Image-12/CS-15-100/Beam (108).jpeg,CS-15-100,CS-15-100,exact,100,100,15,63.59,4.4
data_pipeline/raw/Beam Image-12/CS-15-100/Beam (111).jpeg,CS-15-100,CS-15-100,exact,100,100,15,63.59,4.4
data_pipeline/raw/Beam Image-12/CS-15-100/Beam (112).jpeg,CS-15-100,CS-15-100,exact,100,100,15,63.59,4.4
data_pipeline/raw/Beam Image-12/CS-15-100/Beam (150).jpeg,CS-15-100,CS-15-100,exact,100,100,15,63.59,4.4
data_pipeline/raw/Beam Image-12/CS-15-100/Beam (159).jpeg,CS-15-100,CS-15-100,exact,100,100,15,63.59,4.4
data_pipeline/raw/Beam Image-12/CS-15-100/Beam (163).jpeg,CS-15-100,CS-15-100,exact,100,100,15,63.59,4.4
data_pipeline/raw/Beam Image-12/CS-15-100/Beam (169).jpeg,CS-15-100,CS-15-100,exact,100,100,15,63.59,4.4
data_pipeline/raw/Beam Image-12/CS-15-100/Beam (79).jpeg,CS-15-100,CS-15-100,exact,100,100,15,63.59,4.4
data_pipeline/raw/Beam Image-12/CS-15-100/Beam (81).jpeg,CS-15-100,CS-15-100,exact,100,100,15,63.59,4.4
data_pipeline/raw/Beam Image-12/CS-15-100/Beam (83).jpeg,CS-15-100,CS-15-100,exact,100,100,15,63.59,4.4
data_pipeline/raw/Beam Image-12/CS-15-100/Beam (85).jpeg,CS-15-100,CS-15-100,exact,100,100,15,63.59,4.4
data_pipeline/raw/Beam Image-12/CS-15-100/Beam (88).jpeg,CS-15-100,CS-15-100,exact,100,100,15,63.59,4.4
data_pipeline/raw/Beam Image-12/CS-15-200/Beam (130).jpeg,CS-15-200,CS-15-200,exact,100,200,15,110.6,5.0
data_pipeline/raw/Beam Image-12/CS-15-200/Beam (131).jpeg,CS-15-200,CS-15-200,exact,100,200,15,110.6,5.0
data_pipeline/raw/Beam Image-12/CS-15-200/Beam (134).jpeg,CS-15-200,CS-15-200,exact,100,200,15,110.6,5.0
data_pipeline/raw/Beam Image-12/CS-15-200/Beam (53).jpeg,CS-15-200,CS-15-200,exact,100,200,15,110.6,5.0
data_pipeline/raw/Beam Image-12/CS-15-200/Beam (55).jpeg,CS-15-200,CS-15-200,exact,100,200,15,110.6,5.0
data_pipeline/raw/Beam Image-12/CS-15-200/Beam (56).jpeg,CS-15-200,CS-15-200,exact,100,200,15,110.6,5.0
data_pipeline/raw/Beam Image-12/CS-15-200/Beam (57).jpeg,CS-15-200,CS-15-200,exact,100,200,15,110.6,5.0
data_pipeline/raw/Beam Image-12/CS-15-200/Beam (58).jpeg,CS-15-200,CS-15-200,exact,100,200,15,110.6,5.0
data_pipeline/raw/Beam Image-12/CS-15-200/Beam (59).jpeg,CS-15-200,CS-15-200,exact,100,200,15,110.6,5.0
data_pipeline/raw/Beam Image-12/CS-15-200/Beam (61).jpeg,CS-15-200,CS-15-200,exact,100,200,15,110.6,5.0
data_pipeline/raw/Beam Image-12/CS-15-300/Beam (118).jpeg,CS-15-300,CS-15-300,exact,100,300,15,197.82,4.7
data_pipeline/raw/Beam Image-12/CS-15-300/Beam (121).jpeg,CS-15-300,CS-15-300,exact,100,300,15,197.82,4.7
data_pipeline/raw/Beam Image-12/CS-15-300/Beam (27).jpeg,CS-15-300,CS-15-300,exact,100,300,15,197.82,4.7
data_pipeline/raw/Beam Image-12/CS-15-300/Beam (28).jpeg,CS-15-300,CS-15-300,exact,100,300,15,197.82,4.7
data_pipeline/raw/Beam Image-12/CS-15-300/Beam (29).jpeg,CS-15-300,CS-15-300,exact,100,300,15,197.82,4.7
data_pipeline/raw/Beam Image-12/CS-15-300/Beam (30).jpeg,CS-15-300,CS-15-300,exact,100,300,15,197.82,4.7
data_pipeline/raw/Beam Image-12/CS-15-300/Beam (31).jpeg,CS-15-300,CS-15-300,exact,100,300,15,197.82,4.7
data_pipeline/raw/Beam Image-12/CS-15-300/Beam (32).jpeg,CS-15-300,CS-15-300,exact,100,300,15,197.82,4.7
data_pipeline/raw/Beam Image-12/CS-15-300/Beam (34).jpeg,CS-15-300,CS-15-300,exact,100,300,15,197.82,4.7
data_pipeline/raw/Beam Image-12/CS-15-300/Beam (35).jpeg,CS-15-300,CS-15-300,exact,100,300,15,197.82,4.7
data_pipeline/raw/Beam Image-12/CS-5-100/Beam (1).jpeg,CS-5-100,CS-5-100,exact,100,100,5,67.8,3.5
data_pipeline/raw/Beam Image-12/CS-5-100/Beam (115).jpeg,CS-5-100,CS-5-100,exact,100,100,5,67.8,3.5
data_pipeline/raw/Beam Image-12/CS-5-100/Beam (119).jpeg,CS-5-100,CS-5-100,exact,100,100,5,67.8,3.5
data_pipeline/raw/Beam Image-12/CS-5-100/Beam (164).jpeg,CS-5-100,CS-5-100,exact,100,100,5,67.8,3.5
data_pipeline/raw/Beam Image-12/CS-5-100/Beam (2).jpeg,CS-5-100,CS-5-100,exact,100,100,5,67.8,3.5
data_pipeline/raw/Beam Image-12/CS-5-100/Beam (4).jpeg,CS-5-100,CS-5-100,exact,100,100,5,67.8,3.5
data_pipeline/raw/Beam Image-12/CS-5-100/Beam (5).jpeg,CS-5-100,CS-5-100,exact,100,100,5,67.8,3.5
data_pipeline/raw/Beam Image-12/CS-5-100/Beam (6).jpeg,CS-5-100,CS-5-100,exact,100,100,5,67.8,3.5
data_pipeline/raw/Beam Image-12/CS-5-100/Beam (93).jpeg,CS-5-100,CS-5-100,exact,100,100,5,67.8,3.5
data_pipeline/raw/Beam Image-12/CS-5-100/Beam (95).jpeg,CS-5-100,CS-5-100,exact,100,100,5,67.8,3.5
data_pipeline/raw/Beam Image-12/CS-5-100/Beam (96).jpeg,CS-5-100,CS-5-100,exact,100,100,5,67.8,3.5
data_pipeline/raw/Beam Image-12/CS-5-100/Beam (97).jpeg,CS-5-100,CS-5-100,exact,100,100,5,67.8,3.5
data_pipeline/raw/Beam Image-12/CS-5-100/Beam (98).jpeg,CS-5-100,CS-5-100,exact,100,100,5,67.8,3.5
data_pipeline/raw/Beam Image-12/CS-5-100/Beam (99).jpeg,CS-5-100,CS-5-100,exact,100,100,5,67.8,3.5
data_pipeline/raw/Beam Image-12/CS-5-200/Beam (106).jpeg,CS-5-200,CS-5-200,exact,100,200,5,142.09,5.2
data_pipeline/raw/Beam Image-12/CS-5-200/Beam (107).jpeg,CS-5-200,CS-5-200,exact,100,200,5,142.09,5.2
data_pipeline/raw/Beam Image-12/CS-5-200/Beam (109).jpeg,CS-5-200,CS-5-200,exact,100,200,5,142.09,5.2
data_pipeline/raw/Beam Image-12/CS-5-200/Beam (110).jpeg,CS-5-200,CS-5-200,exact,100,200,5,142.09,5.2
data_pipeline/raw/Beam Image-12/CS-5-200/Beam (137).jpeg,CS-5-200,CS-5-200,exact,100,200,5,142.09,5.2
data_pipeline/raw/Beam Image-12/CS-5-200/Beam (143).jpeg,CS-5-200,CS-5-200,exact,100,200,5,142.09,5.2
data_pipeline/raw/Beam Image-12/CS-5-200/Beam (144).jpeg,CS-5-200,CS-5-200,exact,100,200,5,142.09,5.2
data_pipeline/raw/Beam Image-12/CS-5-200/Beam (146).jpeg,CS-5-200,CS-5-200,exact,100,200,5,142.09,5.2
data_pipeline/raw/Beam Image-12/CS-5-200/Beam (66).jpeg,CS-5-200,CS-5-200,exact,100,200,5,142.09,5.2
data_pipeline/raw/Beam Image-12/CS-5-200/Beam (67).jpeg,CS-5-200,CS-5-200,exact,100,200,5,142.09,5.2
data_pipeline/raw/Beam Image-12/CS-5-200/Beam (69).jpeg,CS-5-200,CS-5-200,exact,100,200,5,142.09,5.2
data_pipeline/raw/Beam Image-12/CS-5-200/Beam (70).jpeg,CS-5-200,CS-5-200,exact,100,200,5,142.09,5.2
data_pipeline/raw/Beam Image-12/CS-5-200/Beam (71).jpeg,CS-5-200,CS-5-200,exact,100,200,5,142.09,5.2
data_pipeline/raw/Beam Image-12/CS-5-200/Beam (75).jpeg,CS-5-200,CS-5-200,exact,100,200,5,142.09,5.2
data_pipeline/raw/Beam Image-12/CS-5-200/Beam (77).jpeg,CS-5-200,CS-5-200,exact,100,200,5,142.09,5.2
data_pipeline/raw/Beam Image-12/CS-5-300/Beam (124).jpeg,CS-5-300,CS-5-300,exact,100,300,5,241.17,5.3
data_pipeline/raw/Beam Image-12/CS-5-300/Beam (125).jpeg,CS-5-300,CS-5-300,exact,100,300,5,241.17,5.3
data_pipeline/raw/Beam Image-12/CS-5-300/Beam (129).jpeg,CS-5-300,CS-5-300,exact,100,300,5,241.17,5.3
data_pipeline/raw/Beam Image-12/CS-5-300/Beam (135).jpeg,CS-5-300,CS-5-300,exact,100,300,5,241.17,5.3
data_pipeline/raw/Beam Image-12/CS-5-300/Beam (42).jpeg,CS-5-300,CS-5-300,exact,100,300,5,241.17,5.3
data_pipeline/raw/Beam Image-12/CS-5-300/Beam (43).jpeg,CS-5-300,CS-5-300,exact,100,300,5,241.17,5.3
data_pipeline/raw/Beam Image-12/CS-5-300/Beam (44).jpeg,CS-5-300,CS-5-300,exact,100,300,5,241.17,5.3
data_pipeline/raw/Beam Image-12/CS-5-300/Beam (46).jpeg,CS-5-300,CS-5-300,exact,100,300,5,241.17,5.3
data_pipeline/raw/Beam Image-12/CS-5-300/Beam (47).jpeg,CS-5-300,CS-5-300,exact,100,300,5,241.17,5.3
